adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids
2 sprays to mouth/throat TID,5 days,,,,sore_throat_adult,Acute sore throat / pharyngeal irritation,False,False,source_missing_hide_from_rx,False,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,gold_regimen_bffda6240cce,,False,RX2,RX NOW,BDS002411,FRM0006,False,False,
2–4 sprays to throat PRN,5 days,,,,sore_throat_adult,Acute sore throat / pharyngeal irritation,False,False,source_missing_hide_from_rx,False,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,gold_regimen_9ca2e5a2e661,,False,SWAP1,SWAP,BDS006462,FRM0006,False,False,
1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_67281e50666b,,False,RX1,RX NOW,BDS008282,FRM0004,False,False,
1 sachet PO BID,3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Lyophilized Saccharomyces boulardii 250 mg.,gold_regimen_583074b3837e,,False,RX2,RX NOW,BDS001248,FRM0004,False,False,
1 sachet PO TID–QID,2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Dioctahedral Smectite 3 g./20 ml.,gold_regimen_84307ca971c5,,False,SWAP1,SWAP,BDS042304,FRM0004,False,False,
1 cap PO q8h,2–3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Racecadotril 100 mg.,gold_regimen_9899a058875a,,False,SWAP2,SWAP,BDS043842,FRM0004,False,False,
1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_cf3a2bd6167a,,False,RX1,RX NOW,BDS008282,FRM0004,False,False,
1 sachet PO BID,3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Lyophilized Saccharomyces boulardii 250 mg.,gold_regimen_e5c19b4814f9,,False,RX2,RX NOW,BDS001248,FRM0004,False,False,
1 sachet PO TID–QID,2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Dioctahedral Smectite 3 g./20 ml.,gold_regimen_0c18754031fe,,False,SWAP1,SWAP,BDS042304,FRM0004,False,False,
1 cap PO q8h,2–3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Racecadotril 100 mg.,gold_regimen_fac6426a485f,,False,SWAP2,SWAP,BDS043842,FRM0004,False,False,
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_14f0119c5e37,,False,RX1,RX NOW,BDS003762,FRM0005,False,False,
1 tab PO OD,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_f1b2cd56043f,,False,RX2,RX NOW,BDS004213,FRM0005,False,False,
apply thinly BID–TID to itchy rash,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,gold_regimen_b65015017df4,,False,RX3,RX NOW,BDS006745,FRM0005,False,False,
1 tab PO OD,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_429f5424efe2,,False,SWAP1,SWAP,BDS003747,FRM0005,False,False,
