issue_id,severity,disease_key,regimen_id,product_id,generic_name,current_sig,current_dose,current_duration,issue_type,why_suspect,source_status,evidence_status,recommended_action,source_gap_needed,test_case_needed,source_file,source_runtime_path,display_name,issues,id,reasons,source_row,status,correction_id,target_id,action
CLIN_FRM0021_RX2_FAST_SOURCE_GAP,high,tension_headache_adult,FRM0021,BDS002042,Ibuprofen + Polyethylene 400 + Porpylene Glycol,1 cap PO q4–6h PRN pain,1 cap PO q4–6h PRN pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[44],,,,,,,,,
CLIN_FRM0022_RX1_FAST_SOURCE_GAP,high,inflammatory_pain_adult,FRM0022,BDS002042,Ibuprofen + Polyethylene 400 + Porpylene Glycol,1 cap PO q4–6h PRN pain,1 cap PO q4–6h PRN pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[45],,,,,,,,,
CLIN_FRM0022_SWAP1_FAST_SOURCE_GAP,high,inflammatory_pain_adult,FRM0022,BDS001078,Etoricoxib,1 tab PO OD after food,1 tab PO OD after food,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[46],,,,,,,,,
CLIN_FRM0023_RX1_FAST_SOURCE_GAP,high,dry_skin_adult,FRM0023,BDS001682,Urea,apply to dry skin BID–TID,apply to dry skin BID–TID,7 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[47],,,,,,,,,
CLIN_FRM0023_SWAP1_FAST_SOURCE_GAP,high,dry_skin_adult,FRM0023,BDS001683,Urea,apply to thicker dry skin BID,apply to thicker dry skin BID,7 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[48],,,,,,,,,
CLIN_FRM0024_RX1_FAST_SOURCE_GAP,high,itchy_dermatitis_adult,FRM0024,BDS004213,Cetirizine dihydrochloride,1 tab PO OD,1 tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[49],,,,,,,,,
CLIN_FRM0024_SWAP1_FAST_SOURCE_GAP,high,itchy_dermatitis_adult,FRM0024,BDS006745,Hydrocortisone Acetate + Mepyramine Maleate,apply thinly BID–TID to itchy areas,apply thinly BID–TID to itchy areas,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[50],,,,,,,,,
CLIN_FRM0025_RX1_FAST_SOURCE_GAP,high,insect_bite_reaction_adult,FRM0025,BDS004213,Cetirizine dihydrochloride,1 tab PO OD,1 tab PO OD,3–5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[51],,,,,,,,,
CLIN_FRM0025_RX2_FAST_SOURCE_GAP,high,insect_bite_reaction_adult,FRM0025,BDS006745,Hydrocortisone Acetate + Mepyramine Maleate,apply thinly BID–TID to bite area,apply thinly BID–TID to bite area,3–5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[52],,,,,,,,,
CLIN_FRM0026_RX1_ANTIVIRAL,high,herpes_labialis_adult,FRM0026,BDS008064,Acyclovir,1 tab PO q6h,1 tab PO q6h,5 days,unsupported_antiviral_regimen,Antiviral disease-specific dose/frequency/duration requires accepted guideline evidence; product availability is not enough.,pending_manual_review,pending_source_collection,block_until_source_verified,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[53],,,,,,,,,
CLIN_FRM0027_RX1_ANTIVIRAL,blocker,herpes_zoster_adult,FRM0027,BDS008065,Acyclovir,1 tab PO 5x/day,1 tab PO 5x/day,5 days,unsupported_antiviral_regimen,Antiviral disease-specific dose/frequency/duration requires accepted guideline evidence; product availability is not enough.,pending_manual_review,pending_source_collection,block_until_source_verified,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[54],,,,,,,,,
CLIN_FRM0027_RX2_FAST_SOURCE_GAP,high,herpes_zoster_adult,FRM0027,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN pain,1–2 tabs PO q4–6h PRN pain,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[55],,,,,,,,,
CLIN_FRM0027_RX2_ANTIVIRAL,blocker,herpes_zoster_adult,FRM0027,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN pain,1–2 tabs PO q4–6h PRN pain,5 days,unsupported_antiviral_regimen,Antiviral disease-specific dose/frequency/duration requires accepted guideline evidence; product availability is not enough.,source_gap,pending_source_collection,block_until_source_verified,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[56],,,,,,,,,
CLIN_FRM0028_RX1_ANTIBIOTIC,blocker,tinea_pruritic_rash_adult,FRM0028,BDS001491,Clotrimazole + Betamethasone Dipropionate w/w,apply thinly BID,apply thinly BID,7 days,antibiotic_source_or_criteria_missing,Antibiotic use requires bacterial diagnosis/criteria plus source-backed dose and duration.,pending_manual_review,pending_source_collection,remove_from_RX_NOW,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[57],,,,,,,,,
CLIN_FRM0030_RX1_FAST_SOURCE_GAP,high,minor_burn_adult,FRM0030,BDS001007,วุ้นจากว่านหางจระเข้,apply to affected area BID–TID,apply to affected area BID–TID,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[58],,,,,,,,,
CLIN_FRM0031_RX1_ANTIBIOTIC,high,minor_skin_infection_topical_adult,FRM0031,BDS002003,Gentamicin,apply thinly TID–QID,apply thinly TID–QID,5 days,antibiotic_source_or_criteria_missing,Antibiotic use requires bacterial diagnosis/criteria plus source-backed dose and duration.,pending_manual_review,pending_source_collection,require_antibiotic_criteria,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[59],,,,,,,,,
