common_side_effects,contraindications,generic_name,hepatic_notes,major_interactions,pediatric_notes,precautions,pregnancy_lactation,product_id,red_flag_referral,renal_notes,safety_id,safety_ready,safety_source_level,serious_side_effects,source_ids,missing_fields
,,Rabeprazole Sandoz,,,,,,BDS047441,,,safe_15b2edb904e2,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Cimetidine,,,,,,BDS003527,,,safe_b818fb1dd67f,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Lysozyme chloride,,,,,,BDS007181,,,safe_844fa93a94fa,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Proctase + Pancreatin,,,,,,BDS046509,,,safe_f31c339fc6ce,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Salbutamol,,,,,,BDS008607,,,safe_73bd84c75732,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Procaterol HCl,,,,,,BDS002616,,,safe_368ad3f3cba9,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Procaterol HCl,,,,,,BDS002617,,,safe_1e8a53ca5e8a,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Theophylline,,,,,,BDS002844,,,safe_ae5d924d5620,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Terbutaline sulfate,,,,,,BDS003708,,,safe_04b80adb23ad,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Itopride hydrochloride,,,,,,BDS042329,,,safe_768169ee5dc3,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Domperidone,,,,,,BDS007106,,,safe_7e55c353e357,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Itopride Hydrochloride,,,,,,BDS002048,,,safe_a406fe20d6e6,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Mosapride citrate,,,,,,BDS006250,,,safe_8d5b1011d0cc,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Domperidone,,,,,,BDS044921,,,safe_5c9e07687c15,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Domperidone,,,,,,BDS006639,,,safe_3ab25e993941,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Domperidone,,,,,,BDS002636,,,safe_aaad6e7505ae,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Domperidone,,,,,,BDS046502,,,safe_f582198cc504,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Simethicone,,,,,,BDS001079,,,safe_43b6ac9bd213,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Simethicone,,,,,,BDS006054,,,safe_5e7e91c4cc66,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Peppermint Oil + Spearmint Oil,,,,,,BDS008682,,,safe_d72f19c27f8e,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Sodium bicarbonate + Peppermint Oil,,,,,,BDS047683,,,safe_1efc20549aaf,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Simethicone,,,,,,BDS003910,,,safe_b183600fc407,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Fluconazole,,,,,,BDS040602,,,safe_1ec36e78e839,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Fluconazole,,,,,,BDS007128,,,safe_4eeef472b6cd,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Ketoconazole,,,,,,BDS007572,,,safe_3fe05c3de118,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Ketoconazole,,,,,,BDS002826,,,safe_54bc8cbbe3ec,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Nystatin 100,,,,,,BDS045631,,,safe_83133e71ecff,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Itraconazole,,,,,,BDS003653,,,safe_e9d99b3f321b,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Acyclovir,,,,,,BDS008064,,,safe_418a04a330f5,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Acyclovir,,,,,,BDS008065,,,safe_5901deb658de,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Acyclovir,,,,,,BDS007782,,,safe_0e7ebdc970b5,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Acyclovir,,,,,,BDS007783,,,safe_1ddbe0e72456,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Acyclovir,,,,,,BDS007781,,,safe_875392c1a43e,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Acyclovir,,,,,,BDS004019,,,safe_7f17affea7ad,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Acyclovir,,,,,,BDS004086,,,safe_63fd9180f29e,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Acyclovir,,,,,,BDS004011,,,safe_a52b1e6468ed,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Mebendazole,,,,,,BDS001230,,,safe_8b2ca37be1da,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Mebendazole,,,,,,BDS001227,,,safe_3b4f6766ac3c,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Mebendazole,,,,,,BDS001927,,,safe_e868a49060f7,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Dioctahedral Smectite,,,,,,BDS042304,,,safe_a06260dfbb75,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Medicinal Charcoal,,,,,,BDS007122,,,safe_91864bce02d2,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Activated Charcoal,,,,,,BDS045666,,,safe_94ea7e307e95,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
