age_max_months,age_min_months,calculation_formula,contraindicated_age,disease_key,dose_basis,dose_max_mg_per_kg,dose_min_mg_per_kg,duration,final_pediatric_status,fixed_dose,frequency,generic_name,max_mg_per_day,max_mg_per_dose,pediatric_formula_ready,pediatric_rule_id,product_concentration,product_id,rounding_rule,source_ids,volume_formula,weight_max_kg,weight_min_kg,missing_fields
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_8a971b1146a3,"{""manual_review"": false, ""matched_text"": ""60 mg./0.6 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",BDS002407,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_a040c1916e30,"{""manual_review"": false, ""matched_text"": ""150 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 30.0}",BDS007583,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_9c12985cb4b9,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",BDS002861,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_e7171ae41cdb,"{""manual_review"": false, ""matched_text"": ""120 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 24.0}",BDS002847,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_2f281914b283,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",BDS008137,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_21d415a32cba,"{""manual_review"": false, ""matched_text"": ""60 mg./0.6 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",BDS003597,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_a3055d9441bd,"{""manual_review"": false, ""matched_text"": ""80 mg./0.8 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",BDS003711,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_95529bf8cd8f,"{""manual_review"": false, ""matched_text"": ""80 mg./0.8 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",BDS003737,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_26d59d594416,"{""manual_review"": false, ""matched_text"": ""160 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 32.0}",BDS003763,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,desloratadine,,,False,peds_40fb0c454e8d,"{""manual_review"": false, ""matched_text"": ""0.5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.5}",BDS001015,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,brompheniramine maleate + phenylephrine hcl,,,False,peds_240d5843e700,"{""manual_review"": false, ""matched_text"": ""2.5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 2.5}",BDS007003,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,brompheniramine maleate + phenylephrine hcl,,,False,peds_9b9041154392,"{""manual_review"": false, ""matched_text"": ""10 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 2.0}",BDS008047,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,chlorpheniramine maleate,,,False,peds_c4338ce0922e,"{""manual_review"": false, ""matched_text"": ""2 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.4}",BDS008033,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,cetirizine 2hcl,,,False,peds_d7c608a199b5,"{""manual_review"": false, ""matched_text"": ""5 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 1.0}",BDS007038,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
