adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids,product_match_gap_reason
irrigate / rinse nasal cavity PRN,5 days,,,,common_cold_adult,Common cold / viral URI,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_0f0b59c3b25b,,False,RX3,RX NOW,BDS044320,FRM0015,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 tab PO OD,5 days,,,,common_cold_adult,Common cold / viral URI,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_20370352ad1f,,False,SWAP1,SWAP,BDS003747,FRM0015,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
irrigate / rinse nasal cavity PRN,5 days,,,,common_cold_adult,Common cold / viral URI,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_a7123c7e5cfc,,False,RX3,RX NOW,BDS044320,FRM0015,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 tab PO OD,5 days,,,,common_cold_adult,Common cold / viral URI,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_e8432e82581e,,False,SWAP1,SWAP,BDS003747,FRM0015,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
irrigate / rinse nasal cavity PRN,5 days,,,,common_cold_adult,Common cold / viral URI,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_32955e95b12e,,False,RX3,RX NOW,BDS044320,FRM0015,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 tab PO OD,5 days,,,,common_cold_adult,Common cold / viral URI,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_b1beffd14784,,False,SWAP1,SWAP,BDS003747,FRM0015,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
irrigate / rinse nasal cavity PRN,5 days,,,,nasal_blockage_adult,Nasal blockage / congestion,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_00e28cf448e5,,False,RX3,RX NOW,BDS044320,FRM0016,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
irrigate / rinse nasal cavity PRN,5 days,,,,nasal_blockage_adult,Nasal blockage / congestion,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_f76f54128196,,False,RX3,RX NOW,BDS044320,FRM0016,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 cap PO q4–6h PRN pain,3 days,,,,viral_fever_bodyache_adult,Viral fever / body ache,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_7252af99a430,,False,RX2,RX NOW,BDS002042,FRM0017,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,viral_fever_bodyache_adult,Viral fever / body ache,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_d7a34037d9ef,,False,RX2,RX NOW,BDS002042,FRM0017,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,viral_fever_bodyache_adult,Viral fever / body ache,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_4b6e0deae449,,False,RX2,RX NOW,BDS002042,FRM0017,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1–2 tabs PO q4–6h PRN pain,3 days,,,,muscle_spasm_adult,Muscle spasm,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_98378dd0cfe1,,False,RX2,RX NOW,BDS003762,FRM0020,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1–2 tabs PO q4–6h PRN pain,3 days,,,,muscle_spasm_adult,Muscle spasm,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_23017fbc2534,,False,RX2,RX NOW,BDS003762,FRM0020,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1–2 tabs PO q4–6h PRN pain,3 days,,,,muscle_spasm_adult,Muscle spasm,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_fdbab758de92,,False,RX2,RX NOW,BDS003762,FRM0020,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 cap PO q4–6h PRN pain,3 days,,,,tension_headache_adult,Tension-type headache,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_782486cdb8db,,False,RX2,RX NOW,BDS002042,FRM0021,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,tension_headache_adult,Tension-type headache,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_919e8558e715,,False,RX2,RX NOW,BDS002042,FRM0021,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,tension_headache_adult,Tension-type headache,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_e9832733eba5,,False,RX2,RX NOW,BDS002042,FRM0021,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_c4ddb28fb931,,False,RX1,RX NOW,BDS002042,FRM0022,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_11da0c042acc,,False,RX1,RX NOW,BDS002042,FRM0022,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_4b84e3544344,,False,RX1,RX NOW,BDS002042,FRM0022,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 tab PO OD,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_5687f88c70b9,,False,RX1,RX NOW,BDS004213,FRM0024,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_11adacde13f2,,False,RX1,RX NOW,BDS004213,FRM0024,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_c3586f0f56b9,,False,RX1,RX NOW,BDS004213,FRM0024,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_43c6d5599987,,False,RX1,RX NOW,BDS004213,FRM0025,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_79c0ee3aad84,,False,RX1,RX NOW,BDS004213,FRM0025,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_5ba13ec34bd2,,False,RX1,RX NOW,BDS004213,FRM0025,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO q6h,5 days,,,,herpes_labialis_adult,Herpes labialis / cold sore,False,False,source_missing_hide_from_rx,False,Acyclovir 400 mg.,gold_regimen_2a3c961abd8f,,False,RX1,RX NOW,BDS008064,FRM0026,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO q6h,5 days,,,,herpes_labialis_adult,Herpes labialis / cold sore,False,False,source_missing_hide_from_rx,False,Acyclovir 400 mg.,gold_regimen_91d6a064bd18,,False,RX1,RX NOW,BDS008064,FRM0026,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO q6h,5 days,,,,herpes_labialis_adult,Herpes labialis / cold sore,False,False,source_missing_hide_from_rx,False,Acyclovir 400 mg.,gold_regimen_b1cfe54883d8,,False,RX1,RX NOW,BDS008064,FRM0026,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1–2 tabs PO q4–6h PRN pain,5 days,,,,herpes_zoster_adult,Herpes zoster / shingles,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_48122e601ac2,,False,RX2,RX NOW,BDS003762,FRM0027,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1–2 tabs PO q4–6h PRN pain,5 days,,,,herpes_zoster_adult,Herpes zoster / shingles,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_32d3e4c4600e,,False,RX2,RX NOW,BDS003762,FRM0027,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1–2 tabs PO q4–6h PRN pain,5 days,,,,herpes_zoster_adult,Herpes zoster / shingles,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_0f38ac77a90f,,False,RX2,RX NOW,BDS003762,FRM0027,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
apply thinly BID,7 days,,,,tinea_pruritic_rash_adult,Tinea corporis / pruritic fungal rash,False,False,source_missing_hide_from_rx,False,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,gold_regimen_f0dd90ed07a6,,False,RX1,RX NOW,BDS001491,FRM0028,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
