query_id,priority,product_id,product_name,generic_name,disease_key,source_category,source_target,query,expected_fields,retrieval_status,notes
gq_2a7f9dbb1adb,A,BDS001057,Aristocort 0.02% [Triamcinolone Acetonide 0.02%],Triamcinolone Acetonide 0.02%,pruritus_localized_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,pruritus_localized_adult guideline Triamcinolone Acetonide 0.02% dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_90eeb3a27402,A,BDS001491,Canasone C.B. Cream [Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w],Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,tinea_corporis_localized_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,tinea_corporis_localized_adult guideline Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_15f33cd6643b,A,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,tinea_corporis_localized_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,tinea_corporis_localized_adult guideline Cetirizine dihydrochloride 10 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_28b9eea9fa95,A,BDS002003,Garamycin Cream [Gentamicin 1 mg./1 g.],Gentamicin 1 mg./1 g.,impetigo_localized_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,impetigo_localized_adult guideline Gentamicin 1 mg./1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_b1dd3f4e4fdb,A,BDS001238,Betadine Solution 15 ml [Povidone-Iodine USP 10 % w/v],Povidone-Iodine USP 10 % w/v,impetigo_localized_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,impetigo_localized_adult guideline Povidone-Iodine USP 10 % w/v dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_208438b557ab,A,BDS002201,Ibiamox 500 mg [Amoxicillin 500 mg.],Amoxicillin 500 mg.,impetigo_localized_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,impetigo_localized_adult guideline Amoxicillin 500 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_68a57f3d571f,A,BDS001238,Betadine Solution 15 ml [Povidone-Iodine USP 10 % w/v],Povidone-Iodine USP 10 % w/v,minor_wound_care_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,minor_wound_care_adult guideline Povidone-Iodine USP 10 % w/v dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_1ea4081e1ceb,A,BDS002003,Garamycin Cream [Gentamicin 1 mg./1 g.],Gentamicin 1 mg./1 g.,minor_wound_care_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,minor_wound_care_adult guideline Gentamicin 1 mg./1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_2b2ae5206372,A,BDS004035,Vislube [Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.)],Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),screen_related_dry_eye_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,screen_related_dry_eye_adult guideline Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.) dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_4d7d99b2018d,A,BDS001552,Cellufresh [Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide],Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,screen_related_dry_eye_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,screen_related_dry_eye_adult guideline Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
