bds,product_name,generic_group,category,form,pediatric_target_status,supported_target_modes,default_target_mode,default_target_value,default_target_unit,fixed_amount_min_per_dose,fixed_amount_max_per_dose,fixed_amount_unit,reference_source_product,reference_source_shortcut,reference_frequency,reference_duration,reference_dispense,same_generic_reference_count,same_generic_reference_disease_keys,notes
BDS002046,Gabutin 300 mg (10 cap),Gabapentin,Neurology & anticonvulsants,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002863,Neurontin 100 mg (10 cap),Gabapentin,Neurology & anticonvulsants,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002823,Neurontin 300 mg (10 cap),Gabapentin,Neurology & anticonvulsants,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002132,Hidil 300 mg (10 cap),Gemfibrozil,Lipid lowering,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002133,Hidil 600 mg (10 tabs),Gemfibrozil,Lipid lowering,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007768,Skinfect Cream เล็ก (5 g.),Gentamicin,Wound care & topical antibiotics,cream,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007766,Skinfect Cream ใหญ่ (15 g.),Gentamicin,Wound care & topical antibiotics,cream,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002038,Gentrex Cream (5 g.),Gentamicin Sulfate,Wound care & topical antibiotics,cream,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001606,Grafadex (5 ml.),Gentamicin w/v,Ophthalmic antibiotics,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001097,Annylyn 21 (21 tabs),Gestodene + Ethinylestradiol,Contraceptives & hormones,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001098,Annylyn 28 (28 tabs),Gestodene + Ethinylestradiol,Contraceptives & hormones,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS041443,Camella 28 (28 tabs),Gestodene + Ethinylestradiol,Contraceptives & hormones,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS041401,Ciclomex-20 (21 tabs),Gestodene + Ethinylestradiol,Contraceptives & hormones,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002613,Meliane 21 (21 tabs),Gestodene + Ethinylestradiol,Contraceptives & hormones,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002614,Meliane ED 28 (28 tabs),Gestodene + Ethinylestradiol,Contraceptives & hormones,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002695,Minidoz 28 (28 tabs),Gestodene + Ethinylestradiol,Contraceptives & hormones,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS044910,Minoz 28 (28 tabs),Gestodene + Ethinylestradiol,Contraceptives & hormones,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007131,Benclamide (10 tabs),Glibenclamide,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001611,Daonil 5 mg (10 tabs),Glibenclamide,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS006734,Sugril 5 mg (10 tabs),Glibenclamide,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001639,Diamicron MR 60 mg (15 tabs),Gliclazide,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
